"p","ecdf"
-1,0.000613873542050338
-0.99,0.00122774708410068
-0.98,0.00122774708410068
-0.97,0.00122774708410068
-0.96,0.00122774708410068
-0.95,0.00122774708410068
-0.94,0.00122774708410068
-0.93,0.00122774708410068
-0.92,0.00122774708410068
-0.91,0.00122774708410068
-0.9,0.00122774708410068
-0.89,0.00122774708410068
-0.88,0.00122774708410068
-0.87,0.00122774708410068
-0.86,0.00122774708410068
-0.85,0.00122774708410068
-0.84,0.00122774708410068
-0.83,0.00122774708410068
-0.82,0.00122774708410068
-0.81,0.00122774708410068
-0.8,0.00122774708410068
-0.79,0.00122774708410068
-0.78,0.00122774708410068
-0.77,0.00122774708410068
-0.76,0.00122774708410068
-0.75,0.00122774708410068
-0.74,0.00122774708410068
-0.73,0.00122774708410068
-0.72,0.00122774708410068
-0.71,0.00122774708410068
-0.7,0.00122774708410068
-0.69,0.00122774708410068
-0.68,0.00122774708410068
-0.67,0.00122774708410068
-0.66,0.00122774708410068
-0.65,0.00122774708410068
-0.64,0.00122774708410068
-0.63,0.00122774708410068
-0.62,0.00122774708410068
-0.61,0.00122774708410068
-0.6,0.00122774708410068
-0.59,0.00122774708410068
-0.58,0.00122774708410068
-0.57,0.00122774708410068
-0.56,0.00122774708410068
-0.55,0.00122774708410068
-0.54,0.00122774708410068
-0.53,0.00122774708410068
-0.52,0.00122774708410068
-0.51,0.00122774708410068
-0.5,0.00122774708410068
-0.49,0.00122774708410068
-0.48,0.00122774708410068
-0.47,0.00122774708410068
-0.46,0.00122774708410068
-0.45,0.00122774708410068
-0.44,0.00122774708410068
-0.43,0.00122774708410068
-0.42,0.00122774708410068
-0.41,0.00122774708410068
-0.4,0.00122774708410068
-0.39,0.00122774708410068
-0.38,0.00122774708410068
-0.37,0.00122774708410068
-0.36,0.00122774708410068
-0.35,0.00122774708410068
-0.34,0.00122774708410068
-0.33,0.00122774708410068
-0.32,0.00122774708410068
-0.31,0.00122774708410068
-0.3,0.00122774708410068
-0.29,0.00122774708410068
-0.28,0.00122774708410068
-0.27,0.00122774708410068
-0.26,0.00122774708410068
-0.25,0.00122774708410068
-0.24,0.00122774708410068
-0.23,0.00122774708410068
-0.22,0.00122774708410068
-0.21,0.00122774708410068
-0.2,0.00122774708410068
-0.19,0.00122774708410068
-0.18,0.00122774708410068
-0.17,0.00122774708410068
-0.16,0.00122774708410068
-0.15,0.00122774708410068
-0.14,0.00122774708410068
-0.13,0.00122774708410068
-0.12,0.00122774708410068
-0.11,0.00122774708410068
-0.1,0.00122774708410068
-0.09,0.00122774708410068
-0.08,0.00122774708410068
-0.07,0.00122774708410068
-0.0599999999999999,0.00122774708410068
-0.0499999999999999,0.00122774708410068
-0.04,0.00122774708410068
-0.03,0.00122774708410068
-0.02,0.00122774708410068
-0.01,0.00122774708410068
0,0.248004910988336
0.01,0.251688152240638
0.02,0.252915899324739
0.03,0.253529772866789
0.04,0.253529772866789
0.05,0.25414364640884
0.0600000000000001,0.255985267034991
0.0700000000000001,0.255985267034991
0.0800000000000001,0.257213014119091
0.0900000000000001,0.257213014119091
0.1,0.257213014119091
0.11,0.257826887661142
0.12,0.258440761203192
0.13,0.258440761203192
0.14,0.259668508287293
0.15,0.259668508287293
0.16,0.260282381829343
0.17,0.260896255371393
0.18,0.262737875997545
0.19,0.262737875997545
0.2,0.262737875997545
0.21,0.264579496623696
0.22,0.265807243707796
0.23,0.265807243707796
0.24,0.266421117249847
0.25,0.267034990791897
0.26,0.268876611418048
0.27,0.269490484960098
0.28,0.2719459791283
0.29,0.2731737262124
0.3,0.275015346838551
0.31,0.276243093922652
0.32,0.277470841006753
0.33,0.277470841006753
0.34,0.277470841006753
0.35,0.279312461632904
0.36,0.280540208717004
0.37,0.282381829343155
0.38,0.284223449969306
0.39,0.285451197053407
0.4,0.286678944137508
0.41,0.288520564763659
0.42,0.289134438305709
0.43,0.289134438305709
0.44,0.29036218538981
0.45,0.293431553100061
0.46,0.295887047268263
0.47,0.298342541436464
0.48,0.301411909146716
0.49,0.304481276856967
0.5,0.305095150399018
0.51,0.30939226519337
0.52,0.314303253529773
0.53,0.316144874155924
0.54,0.317372621240025
0.55,0.319214241866176
0.56,0.322897483118478
0.57,0.324125230202578
0.58,0.324739103744629
0.59,0.32780847145488
0.6,0.329650092081031
0.61,0.331491712707182
0.62,0.333333333333333
0.63,0.334561080417434
0.64,0.337016574585635
0.65,0.339472068753837
0.66,0.340699815837937
0.67,0.341313689379988
0.68,0.341927562922038
0.69,0.343155310006139
0.7,0.34499693063229
0.71,0.348680171884592
0.72,0.350521792510743
0.73,0.355432780847145
0.74,0.359729895641498
0.75,0.361571516267649
0.76,0.364640883977901
0.77,0.368937998772253
0.78,0.373235113566605
0.79,0.378146101903008
0.8,0.38121546961326
0.81,0.386126457949662
0.82,0.391037446286065
0.83,0.394720687538367
0.84,0.395948434622468
0.85,0.40024554941682
0.86,0.402701043585022
0.87,0.405770411295273
0.88,0.413136893799877
0.89,0.419275629220381
0.9,0.421117249846532
0.91,0.426642111724985
0.92,0.431553100061387
0.93,0.438305709023941
0.94,0.445672191528545
0.95,0.451197053406998
0.96,0.459177409453653
0.97,0.467771639042357
0.98,0.483118477593616
0.99,0.502762430939227
1,1
